null,external_id,date,block,duration,timing_note,title,organizers,url,email,location,note,,,,email,location,note
,1,10th,,,,Towards Safe Autonomy: New Challenges and Trends in Robot Perception,Rajat Talak; Luca Carlone; Marco Pavone; Tat-Jun Chin,https://sites.google.com/view/rss2023-safe-autonomy,,TBA,,,,,,,
,2,10th,,,,Datasets and Benchmarking Tools for Advancing and Evaluating Robotic Manufacturing,Adam Norton; Megan Zimmerman; Kenneth Kimble; Craig Schlenoff; Berk Calli,https://sites.google.com/view/rss-2023-nist-moad,,TBA,,,,,,,
,3,10th,,,,Forum to Develop an Open-Source Ecosystem for Robotic Manipulation,Adam Norton; Holly Yanco; Berk Calli; Aaron Dollar,https://www.robot-manipulation.org/rss-2023,,TBA,,,,,,,
,4,10th,,,,Interdisciplinary Exploration of Generalizable Manipulation Policy Learning: Paradigms and Debates,Rui Chen; Daniel Dijkman; Jiayuan Gu; Hamidreza Kasaei; Young Min Kim; Ming C. Lin; Hao Su; Fanbo Xiang; Jing Xu,https://ai-workshops.github.io/interdisciplinary-exploration-of-gmpl/,,TBA,,,,,,,
,5,10th,,,,"Robot Representations for Scene Understanding, Reasoning and Planning",Jen Jen Chung; Luca Carlone; Julian Förster; Federico Tombari,https://mit-spark.github.io/robotRepresentations-RSS2023,,TBA,,,,,,,
,6,10th,,,,Certified Data-driven Control for Uncertain Robotic Systems,Morteza Lahijanian; Luca Laurenti; Angela Schoellig,https://ariasystems.group/workshops/certified-data-driven-control,,TBA,,,,,,,
,7,10th,,,,Environment Generation for Generalizable Robots (EGG),Varun Bhatt; Jack Parker-Holder; Kuan Fang; Minqi Jiang; Stefanos Nikolaidis; Matthew Fontaine; Yachuan Hsu,https://sites.google.com/usc.edu/egg-rss-2023,,TBA,,,,,,,
,8,10th,,,,Experiment-oriented Locomotion and Manipulation Research,Daehyung Park; Jemin Hwangbo; Min Jun Kim,https://rss-ws-2023-lm.github.io/,,TBA,,,,,,,
,9,10th,,,,Inference and Decision Making for Autonomous Vehicles (IDMAV),Juyeop Han; Han-Lim Choi; Christoffer Heckman; Zachary Sunberg; Himanshu Gupta; Qi Heng Ho; Zakariya Laouar; Ramya Kanlapuli,https://sites.google.com/view/idmav-workshop-rss-2023/home?authuser=1,,TBA,,,,,,,
,10,10th,,,,Robotics and AI: The Future of Industrial Assembly Tasks,Shir Kozlovsky; Dotan Di Castro; Yashraj Narang; Hui Li,https://sites.google.com/nvidia.com/industrial-assembly,,TBA,,,,,,,
,11,10th,,,,Learning for Task and Motion Planning,Tom Silver; Danfei Xu; Danny Driess; Jeannette Bohg; Rohan Chitnis; Shuo Cheng; Zhutian Yang,https://zt-yang.github.io/rss23-l4tamp-workshop/,,TBA,,,,,,,
,12,10th,,,,Multi-Robot Planning and Navigation in Challenging Environments,Rohan Chandra; Negar Mehr; Joydeep Biswas; Peter Stone,https://amrl.cs.utexas.edu/multi-agent-planning-workshop.html,,TBA,,,,,,,
,13,10th,,,,Rapid and Robust Robotic Active Learning,Danish Shaikh; Paul Graham; Thomas Nowotny; Andrew Philippides,https://r3al.sdu.dk/,,TBA,,,,,,,
,14,10th,,,,Social Intelligence in Humans and Robots,Tianmin Shu; Xavier Puig; Shuang Li; Paige Tutt¨os´; Angelica Lim; Antonio Torralba,https://social-intelligence-human-ai.github.io/,,TBA,,,,,,,
,15,10th,,,,Symmetries in Robot Learning,Dian Wang; Robert Platt; Robin Walters; Shuran Song; Elise van der Pol; Cheng Chi,https://sites.google.com/view/rss23-sym,,TBA,,,,,,,
,16,10th,,,,IV Workshop on Variable Impedance Learning and Control: From the Foundations to the Future Perspectives,Adrià Colomé; Fares J. Abu-Dakka; Matteo Saveriano; Virginia Ruiz Gárate,https://sites.google.com/view/vic-ws-rss23/,,TBA,,,,,,,
,17,10th,,,,Perception and Manipulation Challenges for Warehouse Automation,Chaitanya Mitash; Kapil Katyal; Joey Durham; Andrew Marchese; Chris Paxton; Kostas Bekris,http://rss23.armbench.com/,,TBA,,,,,,,
